pair,lambda,beta,seed,block,domain,batch,images,selected,unselected,coverage,updated,confidence_mean,original_selected_proxy_pre,original_selected_proxy_post,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b0001,0.7,0.001,202,1,gaussian_noise,48,64,22,42,0.34375,True,0.7169199585914612,2.4297192096710205,1.63691246509552,3.4147565484923867,2.4297194705683465,3.9307283512145026,3.5567582185500726,2.493227561735524,4.11384570545293,4.0728271751319145,3.217921789862561,4.520634757892052,2.8897102373174004,1.6369126997031416,3.5459375189248696,3.1104205399400984,1.7130546675475777,3.842374092145705,4.016450095035749,3.0443276955143435,4.525657066213628
l07_b0001,0.7,0.001,202,1,gaussian_noise,49,64,22,42,0.34375,True,0.7064281105995178,3.2215964794158936,2.5257530212402344,3.4543206660466916,3.221596879298979,3.5762236019621603,3.6434774125663862,3.2230816636931126,3.8636847095952427,4.381534005181742,3.9894983242759583,4.586886028513343,3.2531226538127123,2.525753219340464,3.6341256909172235,3.4791461836833486,2.5430146281010932,3.9695008080359586,4.474579866219388,3.503172518498647,4.983412286454063
l07_b0001,0.7,0.001,202,1,gaussian_noise,50,64,25,39,0.390625,True,0.6924667358398438,2.390709161758423,1.5533071756362915,2.897028177176777,2.390708973641277,3.221591769186713,3.202763768579614,2.421694241251987,3.703449363020401,4.102443428375934,3.213271842236401,4.672425214362813,2.5266970993104243,1.5533071996278032,3.1506649837223617,2.8554218904348847,1.6130427846785813,3.6518187530991826,3.9089049781757264,2.9611262883252363,4.516455420387579
l07_b0001,0.7,0.001,202,1,gaussian_noise,51,64,24,40,0.375,True,0.7232755422592163,2.9014947414398193,2.3948118686676025,3.468287761893063,2.901494823111769,3.808363525161839,3.55864985173102,2.9048888303473563,3.9509064645612186,4.071473077625907,4.073201070255217,4.0704362820483215,3.4014073450467244,2.3948122083879433,4.005364427041993,3.4984741196715543,2.4240942099518814,4.143102065503358,4.2232798113487355,4.272242795463594,4.19390202087982
l07_b0001,0.7,0.001,202,1,gaussian_noise,52,64,22,42,0.34375,True,0.7123527526855469,2.9518930912017822,2.196350336074829,3.536094927937034,2.9518932254052164,3.8421053435489383,3.7402179152090467,3.0157179071499196,4.119717919430494,3.9504556492843275,3.142286863270998,4.37378215624369,3.1436073398312745,2.196350563733606,3.639789460644338,3.348084310464132,2.2715549250197857,3.9119806552206944,3.770337794160209,2.772782860231861,4.292866569075058
l07_b0001,0.7,0.001,202,1,gaussian_noise,53,64,10,54,0.15625,True,0.6221156120300293,2.9652607440948486,1.6984717845916748,4.1247975593232935,2.965260850203058,4.339526579530744,4.1249319987243265,2.986879820881719,4.335682402028514,4.666285515684672,3.4369008931637017,4.893949334670038,3.551973161904165,1.698471854171346,3.89521414481765,3.558017643214305,1.7619099271171905,3.8906301832322896,4.196494989771885,2.781061617574285,4.458612280919589
l07_b0001,0.7,0.001,202,1,gaussian_noise,54,64,25,39,0.390625,True,0.6944755911827087,3.3522064685821533,2.7744665145874023,3.6795328580841558,3.3522062470356513,3.889357608756274,3.6502983401465414,3.3742815581787817,3.8272321747412597,4.277258439054446,4.458601887408881,4.161012638827245,3.589221504210083,2.7744666527736275,4.111500255130887,3.5262063490518765,2.816191321973937,3.9813441869223505,4.288386166429201,4.218928689860114,4.332910189870923
l07_b0001,0.7,0.001,202,1,gaussian_noise,55,64,22,42,0.34375,True,0.7474428415298462,2.2498714923858643,1.9819709062576294,2.9072037322778983,2.249871483348731,3.251520624574129,3.1232944345553966,2.3023804467165885,3.5532969996138197,4.2974891999777665,3.5242214857567586,4.702534193141153,2.8937720363138375,1.9819711040121022,3.371382048471889,3.0761789596913958,2.046957649311129,3.6152948841762975,4.30845274157409,3.5636930885394307,4.698564940782721
l07_b0001,0.7,0.001,202,1,gaussian_noise,56,64,12,52,0.1875,True,0.6286500692367554,1.7177587747573853,1.0895546674728394,3.029828424988912,1.717758717287132,3.3326137421508615,3.186310207297997,1.7401866621268551,3.5200310254144145,4.112581744456795,3.407481615392912,4.275297158856153,3.098370366558462,1.08955464042313,3.5619432264358464,3.2272868184601,1.1415420309452786,3.708612538655828,4.494050248820365,3.863084780942273,4.639657664484538
l07_b0001,0.7,0.001,202,1,gaussian_noise,57,64,21,43,0.328125,True,0.6917330026626587,4.8119354248046875,3.001041889190674,4.629439350268715,4.81193532483776,4.5403134092001105,4.642522553411206,4.806934470729332,4.562228361232588,5.496242714864113,5.147541487939297,5.666538662897162,3.532167671736767,3.001041949326192,3.7915546524489083,3.529718797863178,3.0169418852267205,3.7801447319414483,4.015161273194332,3.6516827928510116,4.192674019408512
