pair,lambda,beta,seed,block,domain,images,selected,coverage,student_audit_pre_ce,student_audit_post_ce,teacher_audit_pre_ce,teacher_audit_post_ce,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b00015,0.7,0.0015,303,6,motion_blur,6000,2770,0.46166666666666667,3.355278730392456,1.898405909538269,1.1503931283950806,1.147077202796936,2.1031451867628426,0.9526372577633201,3.08980368934138,2.493711346871153,1.0181643605775732,3.7591185146832955,2.48571596662845,1.163572868590607,3.6195662395587354,1.9099688854812311,0.587912020418833,3.0437452062932557,2.309293454582834,0.6625638217028093,3.7215043162167842,2.307414389639384,0.8198848195273951,3.5830976432648356
l07_b00015,0.7,0.0015,303,7,zoom_blur,6000,2904,0.484,1.7942054271697998,1.9560812711715698,1.076512336730957,1.0860038995742798,1.6500516777144292,0.5365828295398297,2.6944681942192856,2.1384047308248673,0.617247956380141,3.5652262014280622,2.2043289954459926,0.7491600422841221,3.5692549127528634,1.508393578545101,0.2737815546471211,2.666440515689716,2.0047489444261974,0.363210003461031,3.5444870208353865,2.0830996570056954,0.5184527003833893,3.5507142442250665
l07_b00015,0.7,0.0015,303,8,snow,6000,2130,0.355,2.799652099609375,2.5128188133239746,1.5720646381378174,1.5456808805465698,2.115298577346873,0.6816948811146585,2.9043362706219678,2.7533183690885985,0.7966158619683104,3.8302631598292223,2.540143087537527,0.9513332231030471,3.414604330753405,1.993990345082689,0.34536942662247444,2.9013708505918006,2.636924596649722,0.4732982490942659,3.8277577026686167,2.426275189934742,0.6523786706860023,3.402605832311956
l07_b00015,0.7,0.0015,303,9,frost,6000,2058,0.343,2.7979159355163574,2.5843513011932373,1.7234197854995728,1.7133361101150513,2.145030650041762,0.7247094647069924,2.8865377528877687,2.7865768716522816,0.8430392238760325,3.801239601008831,2.6542957540010845,1.0345224405100188,3.499930832429451,2.0052130718153425,0.3765345460972149,2.8554972945266326,2.65328902226751,0.5075218594044109,3.773529717643528,2.5408257453501215,0.7497635308255546,3.475885622948182
l07_b00015,0.7,0.0015,303,10,fog,6000,1881,0.3135,2.561662435531616,2.702737808227539,1.7112643718719482,1.6523035764694214,2.3061936375766328,0.7218041708316065,3.0297276475177335,2.9602590867856766,0.852035834461019,3.9230092537249037,2.691996600154069,0.9992360908152349,3.465019789779305,2.172312177170778,0.3220580867283276,3.017257053141217,2.8332432627730375,0.46825878919217695,3.9132470973944495,2.5678396460711292,0.6637747809802899,3.4373579784906143
l07_b00015,0.7,0.0015,303,11,brightness,6000,3013,0.5021666666666667,3.074589252471924,1.9317516088485718,1.1790002584457397,1.1813952922821045,1.6462950003900096,0.5978611630869023,2.703854810163783,2.1180339692073016,0.6841119335109324,3.5644374153248632,2.257085770088108,0.8643576625364414,3.6619367202230815,1.4952181729103586,0.3301468588283055,2.670430717044683,1.9739765314417377,0.4241356891937677,3.537307786109678,2.1120429311567444,0.6127319132615365,3.6244045303928556
l07_b00015,0.7,0.0015,303,12,contrast,6000,1492,0.24866666666666667,3.140207290649414,2.992934465408325,2.1949026584625244,2.0249125957489014,2.7844520170438645,1.015750470389695,3.369834161588679,3.4634096443262523,1.1465763940965799,4.230205387303776,3.235883633911369,1.4114968179964757,3.8396957744049405,2.6409962826216344,0.5081468321569883,3.3468994281613975,3.32968978141905,0.6621926004938351,4.212543772976373,3.094089450081613,0.9853774314156621,3.7920038981405315
l07_b00015,0.7,0.0015,303,13,elastic_transform,6000,2310,0.385,4.541062355041504,3.109809160232544,1.6169488430023193,1.6219122409820557,2.18633821581247,0.8980678001448372,2.992816443506842,2.7646509732737785,0.9973339180689349,3.8710201866946976,2.8240550985373276,1.1658223235364262,3.862135778822446,1.9974643962608685,0.4822569136405479,2.9460089179012328,2.5840098206652975,0.593626558227437,3.830022106906883,2.6431995947854934,0.7826979520063906,3.807903875224445
l07_b00015,0.7,0.0015,303,14,pixelate,6000,1095,0.1825,3.4881467819213867,3.745229721069336,2.2312047481536865,2.074791669845581,2.7969172360055667,1.1264876109202735,3.169826601850296,3.65395510539845,1.2558004725093674,4.189322959223844,3.4242751933137465,1.761519671805539,3.7954713800724598,2.648065342146847,0.5262103332239368,3.1217516285424822,3.506139431908695,0.6786157269100757,4.1373603201805595,3.2999541545294377,1.2852816424012352,3.7497128498975076
l07_b00015,0.7,0.0015,303,15,jpeg_compression,6000,2199,0.3665,3.784975528717041,2.538736581802368,1.6966798305511475,1.7091165781021118,2.172828404974125,0.7248051597458423,3.0105561387960127,2.7551715724934325,0.838657583695301,3.863936176904661,2.7703444945455704,1.0239951528776836,3.780663411232676,2.0424311608780634,0.4229113249170495,2.9793751543740568,2.6333441705956844,0.5482084046517485,3.8396618631267865,2.656887603394206,0.7627499713201628,3.752706770174215
l07_b00015,0.7,0.0015,404,1,gaussian_noise,6000,1799,0.29983333333333334,5.527081489562988,3.6874945163726807,5.527081489562988,3.7910523414611816,3.4702954702427906,2.542763872875115,3.867493600131975,3.6294357119665612,2.583551947003198,4.077315953139875,4.38862819566614,3.455009174241289,4.788433151520296,3.177251438032194,1.800618649663142,3.7667687877765235,3.3524980969862983,1.8651841499156274,3.9894125913400544,4.242697228367304,3.106291699198592,4.729341728956334
l07_b00015,0.7,0.0015,404,2,shot_noise,6000,1445,0.24083333333333334,3.5143790245056152,4.25200891494751,3.3806705474853516,2.8595962524414062,3.3553182338727794,2.100263579418691,3.753464002409809,3.63040493716792,2.1565427382527655,4.09796385647251,4.020545115545756,2.6026291343097796,4.470356003116776,3.142305907346466,1.3381424529497516,3.7146475520453124,3.422261857672878,1.4168618108396331,4.058442553100765,3.852757127194241,2.023346060545409,4.433108168096008
l07_b00015,0.7,0.0015,404,3,impulse_noise,6000,2339,0.3898333333333333,4.332910537719727,2.2872538566589355,1.6806970834732056,1.5490410327911377,2.822603286728727,1.7151979106773896,3.530120679403977,3.086416536609103,1.7638016463737085,3.9314305295783973,3.084762910236758,1.8812564811010783,3.8536789271032883,2.57079731135761,1.1701965501886018,3.465636202473236,2.844975210408163,1.2311768363821227,3.8760253051491924,2.8447192067533416,1.3832897192675202,3.778421356775011
l07_b00015,0.7,0.0015,404,4,defocus_blur,6000,2939,0.48983333333333334,2.331838846206665,1.8729108572006226,1.0788127183914185,1.048869252204895,2.065897699871242,0.9874579516838305,3.1013548772390305,2.433622723492893,1.05235331152804,3.759839907996225,2.419309643179164,1.1919850239449965,3.597717698040066,1.847865078136468,0.5812577450956466,3.063990184901244,2.222514105114361,0.6564015029488008,3.7262073222867156,2.214196277171206,0.8145376766701211,3.558069726002533
